Kochen,Bestellen
"Schnitzel und Kartoffeln und Salat",Griechisch
Haschee und Nudeln,Döner
Gulasch und Klöße und Rotkraut,Pizza
Strammer Max,Chinesisch
Labskaus mit Gurken,
Kartoffelsalat selbst gemacht und Fleischwurst,
Bratwurst und Pommes mit Brötchen,
Linsensuppe mit Würstchen und Brötchen,
"Kartoffeln, Eier und Salat",
"Rouladen, Klöße, Rotkraut",
"Steak, Kräuterbaguette und Gurkensalat",
"Rippchen, Sauerkraut und Kartoffelbrei",
Kartoffelsalat mit Würstchen,
"Bratwurst, Erbsen, Möhren und Kartoffeln",
Hackfleisch mit gekochtem Salat,
